,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
2429,Xavier Guede,,L'intention liberale,Michel Grimaldi,Grimaldi Michel,29837685,Paris 2,26403145,Droit prive,enCours,24-11-11,,,na,s67714,non,24-11-11,16-12-11,Droit et Science Politique,male,Université Panthéon-Assas,NA
2430,Marie Guilpain,,"La prohibition des clauses abusives : entre liberte du consentement, efficacite economique et equite contractuelle",Jean-Sebastien Borghetti,Borghetti Jean-Sebastien,80796249,Paris 2,26403145,Droit prive,enCours,24-11-11,,,na,s67729,non,24-11-11,09-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2431,Salem Bahar,,Le statut du contribuable en droit musulman,Jean-Claude Martinez,Martinez Jean-Claude,34680888,Paris 2,26403145,Droit public,enCours,28-01-09,,,na,s23378,non,25-11-11,16-03-15,Droit et Science Politique,male,Université Panthéon-Assas,NA
2432,Alexis Foucard,,Arbitrage international et voies de recours : etude comparee franco-americaine,Daniel Cohen,Cohen Daniel,32639805,Paris 2,26403145,Droit international,enCours,29-11-11,,,na,s67762,non,29-11-11,04-04-16,Droit et Science Politique,male,Université Panthéon-Assas,NA
2433,Meryem Laslami,,La migration des principes civilistes en droits des affaires,Denis Mazeaud,Mazeaud Denis,31706460,Paris 2,26403145,Droit prive,enCours,29-11-11,,,na,s67763,non,29-11-11,16-12-11,Droit et Science Politique,female,Université Panthéon-Assas,NA
2434,Massoud Ahmad,,La geopolitique des medias syriens depuis 1963,Francis Balle,Balle Francis,26702606,Paris 2,26403145,Sciences de l'information et de la communication,enCours,30-11-11,,,na,s67779,non,30-11-11,19-01-15,SHS,male,Université Panthéon-Assas,NA
2435,Sylvia Jacquot,,L'acces aux terres agricoles en droit international,Yves Nouvel,Nouvel Yves,70550824,Paris 2,26403145,Droit international,enCours,01-12-11,,,na,s67786,non,01-12-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
2436,Juan Felipe Carrillo,,Comprendre lexclusion sociale a la lumiere de la reconnaissance : reflexions theoriques sur lapproche de la reconnaissance dAxel Honneth et illustration a partir dune etude de cas a Bogota.,Jean-Louis Marie,Marie Jean-Louis,na,Lyon 2,02640334X,Science politique,enCours,29-10-04,12-01-12,2012.0,na,s67794,non,02-12-11,04-11-15,Droit et Science Politique,male,Université Lumière - Lyon 2,NA
2437,Ray Yazbek,,Le role des banques dans le financement de projets.,Thierry Bonneau,Bonneau Thierry,30105471,Paris 2,26403145,Droit prive,enCours,05-12-11,,,na,s67835,non,05-12-11,16-12-11,Droit et Science Politique,mostly_male,Université Panthéon-Assas,NA
2438,Sophie Vermeille,,Les incidences macroeconomiques et microeconomiques du droit des procedures collectives. Peut-on parler d'un droit efficient?,Bruno Deffains,Deffains Bruno,58557733,Paris 2,26403145,Droit prive,enCours,06-12-11,,,na,s67836,non,06-12-11,12-03-15,Droit et Science Politique,female,Université Panthéon-Assas,NA
2439,Noela Picari,,La fiducie en droit international prive,Marie Gore,Gore Marie,33775249,Paris 2,26403145,Droit international,enCours,10-11-11,,,na,s67857,non,06-12-11,04-04-16,Droit et Science Politique,unknown,Université Panthéon-Assas,NA
2440,Lea Ayoub,,L'Usage de L'Exception d'Ordre Public par le Juge - Etude comparative,Marie Gore,Gore Marie,33775249,Paris 2,26403145,Droit compare,enCours,07-12-11,,,na,s67881,non,07-12-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
2441,Gautier De malafosse,,Le salarie sur facebook.,Therese Aubert-Monpeyssen,Aubert-Monpeyssen Therese,29389097,Toulouse 1,26404354,Droit,enCours,12-10-11,25-10-13,2013.0,na,s68049,non,16-12-11,05-04-16,Droit et Science Politique,male,Université Toulouse Capitole,NA
2442,Jean Hery,,"Piraterie et surete maritime, essai pour une nouvelle consideration du phenomene en droit penal international",Veronique Labrot,Labrot Veronique,na,Brest,26403021,Droit public,enCours,05-09-11,,,na,s68114,non,03-01-12,03-04-13,Droit et Science Politique,male,Université de Bretagne Occidentale,NA
2443,Rabiafaranjato Velonoromanalintantely,,Notation formelle et representation (emotionnelle et posturale) du personnage dans un contexte de scenographie theatrale virtuelle,"Monique Martinez Thomas,Veronique Gaildrat","Martinez Thomas Monique,Gaildrat Veronique","322,226,020",Toulouse 2,26403994,Arts du spectacle,enCours,01-10-11,14-11-14,2014.0,na,s68141,non,03-01-12,04-04-16,Biologie,unknown,Université Toulouse - Jean Jaurès,NA
2444,Lucille Arnaud,," La figure de Circe : metamorphoses, reecritures, transpositions intermediales de l'Antiquite a nos jours.","Michel Briand,Patrick Nee","Briand Michel,Nee Patrick",na,Poitiers,26403765,Histoire ancienne,enCours,01-09-11,17-12-15,2015.0,na,s68157,non,04-01-12,27-01-16,SHS,female,Université de Poitiers,NA
2445,Mylene Cabestaing,,Edition critique de Lou Parterre gascoun Coupauzat de quatre carreres (Le Parterre gascon compose de quatre carreaux) de G. Dedout (1642),Jean-Francois Courouau,Courouau Jean-Francois,34375120,Toulouse 2,26403994,Lettres modernes,enCours,01-10-11,,,na,s68166,non,05-01-12,05-04-16,Langues et Litteratures,unknown,Université Toulouse - Jean Jaurès,NA
2446,Laurence Matthewman (Bordeau),,"La valorisation du destin familial, des oeuvres et de la geographie litteraire des soeurs Bronte dans la vie economique et culturelle de Haworth et de la region du West Yorkshire a l'epoque actuelle",Rosemary Findlay,Findlay Rosemary,15381599X,Toulouse 2,26403994,Anglais,enCours,01-10-11,,,na,s68172,non,05-01-12,04-04-16,Langues et Litteratures,female,Université Toulouse - Jean Jaurès,NA
2447,David Gaschet,,Le contrat de fourniture de logiciel,Jerome Passa,Passa Jerome,34992898,Paris 2,26403145,Droit prive,enCours,05-01-12,,,na,s68179,non,05-01-12,17-03-15,Droit et Science Politique,male,Université Panthéon-Assas,NA
2448,Nassima Ait lahmidi,,Sugar transport and partitioning during arbuscular mycorrhizal symbiosis (from basic to applied science),"Daniel Wipf,Graziella Berta,Laurent Bonneau","Wipf Daniel,Berta Graziella,Bonneau Laurent",na,Dijon,02819005X,Sciences de la vie et de la sante,enCours,28-10-11,20-02-15,2015.0,na,s68200,non,06-01-12,24-06-15,Biologie,unknown,Université de Bourgogne,NA
2449,Sandrine Albac,,Etapes precoces des candidoses systemiques : etude du role des cellules M au cours de l'interaction de Candida albicans avec la muqueuse digestive.,"Alain Bonnin,Marc Sautour","Bonnin Alain,Sautour Marc",na,Dijon,02819005X,Sciences de la vie et de la sante,enCours,21-09-11,27-03-15,2015.0,na,s68201,non,06-01-12,24-06-15,Biologie,female,Université de Bourgogne,NA
2450,Pierre Sabatier,,L'impact de la transformation des structures de population sur les modes de gestion dans les pays industrialises,Frank Bournois,Bournois Frank,29904129,Paris 2,26403145,Sciences de gestion,enCours,05-01-12,,,na,s68202,non,06-01-12,17-01-12,Economie Gestion,male,Université Panthéon-Assas,NA
2451,Bachar Alhajjar,,On locally nilpotent derivations of integral domains,"Lucy Moser jauslin,Adrien Dubouloz","Moser jauslin Lucy,Dubouloz Adrien",na,Dijon,02819005X,Mathematiques,enCours,14-10-11,14-12-15,2015.0,na,s68205,non,06-01-12,13-01-16,MathÃ©matiques,male,Université de Bourgogne,NA
2452,Charline Allonneau,,Caracterisation des phenomenes de transfert dans un reacteur d'etude miniaturise et mise en oeuvre des capteurs innovants pour l'etude de reactions biologiques,Remy Cachon,Cachon Remy,na,Dijon,02819005X,"Sciences agronomiques, biotechnologies agro-alimentaires",enCours,15-09-11,28-01-15,2015.0,na,s68208,non,06-01-12,24-06-15,Biologie,female,Université de Bourgogne,NA
2453,Juliette Bailly,,L'Urbanisation des populations naturelles: consequences immunoecologiques et ecotoxicologiques chez les oiseaux,"Bruno Faivre,Renaud Scheifler","Faivre Bruno,Scheifler Renaud",na,Dijon,02819005X,Sciences de la vie et de la sante,enCours,11-10-11,23-06-15,2015.0,na,s68236,non,06-01-12,22-07-15,Biologie,female,Université de Bourgogne,NA
2454,Mauricio Cerda,,Champs de neurones dynamiques massivement distribues pour la perception visuelle du mouvement.,Bernard Girau,Girau Bernard,na,Universite de Lorraine,157040569,Informatique,enCours,08-11-07,,,na,s68318,non,10-01-12,28-06-13,Informatique,male,Université de Lorraine,NA
2455,Imudia Norman Ajari-rongemaille,,Race et africanisme : genealogie symetrique de la violence epistemique coloniale,"Jean-Christophe Goddard,Marc Maesschalck","Goddard Jean-Christophe,Maesschalck Marc","291,036,220",Toulouse 2,26403994,Philosophie,enCours,01-10-11,,,na,s68411,non,12-01-12,04-04-16,SHS,unknown,Université Toulouse - Jean Jaurès,NA
2456,Abdel rahman Abdel samie,,Ostraca de la Vallee des Rois. Enquete sur la societe thebaine a la fin du Nouvel Empire.,Annie Gasse,Gasse Annie,26883260,Montpellier 3,26404702,Egyptologie,enCours,21-10-11,,,na,s68497,non,13-01-12,17-01-12,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2457,Amani julien Adi,,Les reconfigurations post urgence en Indonesie et au Laos: analyse comparee des programmes d'eau et d'assainissement dans le nord sumatra et securite alimentaire dans le nord Laos.,Frederic Leone,Leone Frederic,35065753,Montpellier 3,26404702,Geographie et amenagement de l'espace,enCours,02-12-11,,,na,s68501,non,13-01-12,05-04-16,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2458,Assad Alkhalaf alassaf,,"Interviews de presse ecrite et dialogisme( semantiques, syntaxe).",Jacques Bres,Bres Jacques,28744365,Montpellier 3,26404702,Sciences du langage,enCours,22-11-11,,,na,s68512,non,13-01-12,13-01-12,Langues et Litteratures,male,Université Paul-Valéry - Montpellier 3,NA
2459,Alfonsina Ariaga jimenez,,"Analyse des facteurs historiques et ecologiques relatifs a la distribution des coleopteres coprophages ( Scarabaeinae, Geotrupinae et Aphodiinae) d'origine Nearctique dans les montagnes de la zone de transition mexicaine.",Jean-Pierre Lumaret,Lumaret Jean-Pierre,26997843,Montpellier 3,26404702,Biologie des populations et ecologie,enCours,13-01-12,,,na,s68517,non,13-01-12,05-04-16,Biologie,female,Université Paul-Valéry - Montpellier 3,NA
2460,Laura Bourdajaud,,Etude anthropologique des services funeraires du premier age du fer mediterraneen.,"Thierry Janin,Michael Dietler","Janin Thierry,Dietler Michael",35131128,Montpellier 3,26404702,Archeologie,enCours,16-01-12,,,na,s68533,non,16-01-12,16-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2461,Laurianne Burlet,,Analyse de la reception des discours mediatiques dans les processus de production ou de reduction des discriminations envers les personnes handicapees.,"Eric Leseleuc,Birgitta Dresp-langley","Leseleuc Eric,Dresp-langley Birgitta",na,Montpellier 3,26404702,Sociologie,enCours,10-11-11,,,na,s68540,non,16-01-12,16-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2462,Gabrielle Chesnoy,,Dynamique de l'acquisition des ressources attentionnelles et de l'estompage au cours d'un programme de remediation cognitive chez des sujets schizophrenes.,"Denis Brouillet,Catherine Massoubre","Brouillet Denis,Massoubre Catherine",03546416X,Montpellier 3,26404702,Psychologie,enCours,04-11-11,,,na,s68557,non,16-01-12,18-10-12,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
2463,Florence Feldmann (Clausard),,Facteurs cles de succes des strategies d'internationalisation des enseignes francaises en Pologne,Frank Bournois,Bournois Frank,29904129,Paris 2,26403145,Sciences de gestion,enCours,16-01-12,,,na,s68571,non,16-01-12,16-01-12,Economie Gestion,female,Université Panthéon-Assas,NA
2464,Pierre-Etienne Billemont,,"Histoire et culture juridique dans la jurisprudence constitutionnelle. Contribution a l'etude des droits publics francais, espagnol et polonais",Franck Laffaille,Laffaille Franck,na,Universite de Lorraine,157040569,Droit public,enCours,06-12-11,,,na,s68638,non,17-01-12,28-06-13,Droit et Science Politique,male,Université de Lorraine,NA
2465,Mathilde Claudel de vito,,L'experience du ministere de l'immigration et de l'identite nationale,Dominique Andolfatto,Andolfatto Dominique,na,Universite de Lorraine,157040569,Science politique,enCours,07-10-11,,,na,s68642,non,17-01-12,28-06-13,Droit et Science Politique,female,Université de Lorraine,NA
2466,Nicolas Foulc,,"La romanisation d'Enserune (nissan-lez-enserune, Herault).",Patrick Thollard,Thollard Patrick,29225515,Montpellier 3,26404702,Archeologie,enCours,03-11-11,,,na,s68719,non,17-01-12,17-01-12,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2467,Mathilde Hamon,,Pour une gestion durable des ressources cotieres dans le sud de la thailande. Importance des relations de genre dans le rapport entre activites aquacoles et gestion des ressources cotieres.,"Bernard Moizo,Dominique Crozat","Moizo Bernard,Crozat Dominique",56264445,Montpellier 3,26404702,Ethnologie,enCours,01-12-11,,,na,s68737,non,17-01-12,17-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2468,Emeline Louis,,Etude des cultes d'epoque imperiale et de leur distribution geo-topographique en Narbonnaise.,Sandrine Agusta-boularot,Agusta-boularot Sandrine,na,Montpellier 3,26404702,Archeologie,enCours,03-11-11,,,na,s68791,non,18-01-12,18-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2469,Fadia Merabet,,L'innovation territoriale et sociale par le developpement touristique durable dans les zones sahariennes. Le cas de l'Oasis Rouge de Timimoun (Algerie).,"Dominique Crozat,Said Boujrouf","Crozat Dominique,Boujrouf Said",56264445,Montpellier 3,26404702,Geographie et amenagement de l'espace,enCours,09-11-11,,,na,s68795,non,18-01-12,18-06-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2470,Chloe Monroig,,Les centres de retention ou la politique d'enfermement dans des camps.,"Martine Xiberras,Jean martin Rabot","Xiberras Martine,Rabot Jean martin",29730708,Montpellier 3,26404702,Sociologie,enCours,03-11-11,,,na,s68808,non,18-01-12,18-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2471,Mara Martin,,La poetique de l'espace dans les oeuvres de sylvie Germain : dans quelles mesures le lieu fait oeuvre d'identification?,Patrick Marot,Marot Patrick,32276559,Toulouse 2,26403994,Lettres modernes,enCours,01-10-11,,,na,s68870,non,19-01-12,04-04-16,Langues et Litteratures,female,Université Toulouse - Jean Jaurès,NA
2472,Adriana Macena Silva (Macena Silva Savio),,Sommet de Rio +20. La politique climat des pays emergents : Le Bresil,Catherine Roche,Roche Catherine,05035373X,Poitiers,26403765,Droit public,enCours,27-09-11,,,na,s68901,non,19-01-12,04-10-12,Droit et Science Politique,female,Université de Poitiers,NA
2473,Adrien Souet,,Regard sur la reparation des dommages medicaux depuis la loi du 4 mars 2002,Gerard Memeteau,Memeteau Gerard,27022358,Poitiers,26403765,Droit prive,enCours,14-09-11,,,na,s68905,non,19-01-12,19-01-12,Droit et Science Politique,male,Université de Poitiers,NA
2474,Nathalie Ravinal,,Qualite de vie dans la ville durable: des eco-quartiers aux eco-cites.,"Catherine Bernie-Boissard,Anne Sistel","Bernie-Boissard Catherine,Sistel Anne",32713126,Montpellier 3,26404702,Architecture,enCours,03-11-11,,,na,s68902,non,19-01-12,05-04-16,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2475,Guenou Koffi Maurito Ahlidja,,La notion d'indemnisation en droit administratif francais,"Benoit Delaunay,Antoine Claeys","Delaunay Benoit,Claeys Antoine","737,181,140",Poitiers,26403765,Droit public,enCours,13-09-11,,,na,s68907,non,19-01-12,19-01-12,Droit et Science Politique,unknown,Université de Poitiers,NA
2476,Mathieu Rue,,"Etude des remplissages de cavites a hominides du Pleistocene moyen et superieur au Maroc atlantique : stratogenese, transformations, implications taphonomiques et significations paleoenvironnementales.","David Lefevre,Jean-Paul Raynal","Lefevre David,Raynal Jean-Paul",79065562,Montpellier 3,26404702,Archeologie,enCours,05-12-11,,,na,s68933,non,20-01-12,05-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2477,Anastasiia Semenko,,"Fetes, territoire: le festival de Kazantip ( crimee). Geopolitique et developpement touristique.",Dominique Crozat,Crozat Dominique,56264445,Montpellier 3,26404702,Geographie et amenagement de l'espace,enCours,06-12-11,,,na,s68944,non,20-01-12,20-01-12,SHS,female,Université Paul-Valéry - Montpellier 3,NA
2478,Julien Simons,,La communaute contemporaine. Utopies : imaginaires et significations.,"Martine Xiberras,Jean martin Rabot","Xiberras Martine,Rabot Jean martin",29730708,Montpellier 3,26404702,Sociologie,enCours,01-12-11,,,na,s68950,non,20-01-12,20-01-12,SHS,male,Université Paul-Valéry - Montpellier 3,NA
2479,Jimmy Huaccho Pizarro (Huaccho),,Responsabilite penale des personnes morales dans le domaine de l'environnement dans la mise en oeuvre de l'harmonisation penale de l'Union europeenne,"Jean-Francois Seuvic,Veronique Jaworski","Seuvic Jean-Francois,Jaworski Veronique",na,Universite de Lorraine,157040569,Droit prive et Sciences criminelles,enCours,07-11-11,,,na,s68972,non,20-01-12,28-06-13,Droit et Science Politique,male,Université de Lorraine,NA
2480,Lina Chlih,,Veille informationnelle et capitalisation des savoirs peuvent-ils etre appropries par les pays de contact ? Etude des relations informationnelles entre donneurs d'ordres francais et fournisseurs marocains.,Christian Le moenne,Le moenne Christian,na,Rennes 2,54447658,Info-com,enCours,15-11-11,,,na,s69030,non,23-01-12,23-01-12,Biologie,female,Université Rennes 2,NA
